filename,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_MSE,FPA,FPA
jedit-4.0_jedit-4.1,0.821827366,0.803748671,0.811990429,0.825564221,0.829315845,0.825564221,0.813260664,0.829655559,0.827129859,0.82717417,0.803320336,0.826745835,0.827277561,0.826745835,0.815166017,0.82467801,0.830098665,0.824589389,0.826982158,0.830453149,0.828414865,0.830453149,0.834603568,0.780810587,0.784517901,0.799192071,0.775522864,0.801813778,0.825948245,0.793187995,0.794650242,0.803984994
jedit-4.1_jedit-4.2,0.87337412,0.878489538,0.87671585,0.876921495,0.876535911,0.876921495,0.863940157,0.880340342,0.872448717,0.873117063,0.872680068,0.87172896,0.872037427,0.87172896,0.869646805,0.871163436,0.870983497,0.874350933,0.874685106,0.866536425,0.876818673,0.866536425,0.86756465,0.875996093,0.868927047,0.872705773,0.876458794,0.873528353,0.87442805,0.873297003,0.88046887,0.882576731
jedit-4.2_jedit-4.3,0.684281843,0.695968835,0.680386179,0.651592141,0.690379404,0.651592141,0.715108401,0.658536585,0.650575881,0.689701897,0.681741192,0.657520325,0.680724932,0.657520325,0.677506775,0.663109756,0.680047425,0.697493225,0.68699187,0.676659892,0.680386179,0.676659892,0.687161247,0.665142276,0.644139566,0.674627371,0.64447832,0.664634146,0.647188347,0.658705962,0.650575881,0.647865854
log4j-1.0_log4j-1.1,0.800085342,0.809579689,0.80019202,0.795711543,0.808299552,0.795711543,0.790911031,0.788990826,0.806592703,0.789097504,0.813526776,0.791124387,0.789524216,0.791124387,0.789204182,0.794324728,0.791337743,0.792937913,0.788137401,0.797098357,0.788564114,0.797098357,0.78877747,0.787604011,0.80947301,0.809579689,0.802218903,0.807766162,0.811073181,0.808832942,0.800832089,0.803285684
log4j-1.1_log4j-1.2,0.548653149,0.552492898,0.554099324,0.552541875,0.551875796,0.552541875,0.554500931,0.549015574,0.554677246,0.560123421,0.55728279,0.543873053,0.556009403,0.543873053,0.558654129,0.557370947,0.561896366,0.5597512,0.5574689,0.562395925,0.555245372,0.562395925,0.563395044,0.554324616,0.55516701,0.553825056,0.548658047,0.552865119,0.548545401,0.557929278,0.562229405,0.565574493
lucene-2.0_lucene-2.2,0.695710849,0.720794461,0.714349978,0.712843983,0.709704864,0.712843983,0.704032936,0.693794129,0.709978681,0.716912124,0.689833558,0.704971738,0.705734515,0.704971738,0.689843337,0.693114475,0.691779616,0.711044613,0.693129144,0.703798236,0.703964482,0.703798236,0.696033562,0.690459426,0.711934519,0.710184044,0.710027577,0.712697295,0.714305971,0.712765749,0.719259129,0.719073324
lucene-2.2_lucene-2.4,0.679886448,0.684060871,0.68004933,0.664161392,0.674595123,0.664161392,0.678750931,0.663579672,0.666502234,0.68858898,0.683116158,0.688263217,0.666623232,0.688263217,0.671826136,0.667256143,0.662551191,0.690911206,0.685349963,0.682674051,0.661774013,0.682674051,0.679807334,0.683209233,0.666241623,0.674385704,0.669666791,0.673240879,0.66533414,0.669634214,0.69422003,0.655724125
poi-1.5_poi-2.0,0.687898089,0.664257717,0.730279275,0.657602482,0.680548751,0.657602482,0.635309489,0.708639556,0.718520333,0.659480647,0.692879308,0.644292014,0.666421689,0.644292014,0.686509881,0.735097175,0.732402417,0.719377756,0.69500245,0.711620121,0.710395231,0.711620121,0.635636126,0.717948718,0.72129675,0.672872775,0.648538298,0.699330394,0.671402907,0.693369263,0.708598726,0.693287604
poi-2.0_poi-2.5,0.471402388,0.504953917,0.473947424,0.487803729,0.490552995,0.487803729,0.481564202,0.516432761,0.463576142,0.527330331,0.479912023,0.528176058,0.456221198,0.528176058,0.475607457,0.463348345,0.460426267,0.479068915,0.477479577,0.509991621,0.460290113,0.509991621,0.536107038,0.46245287,0.458897151,0.462138668,0.486442187,0.470025136,0.470313155,0.485651445,0.501298701,0.472659196
poi-2.5_poi-3.0,0.687475113,0.696633484,0.688257919,0.679848416,0.679809955,0.679848416,0.657972851,0.683961538,0.681140271,0.656782805,0.672361991,0.684312217,0.670570136,0.684312217,0.653067873,0.690742081,0.663058824,0.684533937,0.691739819,0.654366516,0.675343891,0.654366516,0.672386878,0.684988688,0.678167421,0.68111086,0.671461538,0.684067873,0.681803167,0.682402715,0.701531674,0.689058824
synapse-1.0_synapse-1.1,0.646464646,0.692783693,0.66971517,0.646032396,0.70984621,0.646032396,0.642551643,0.667121667,0.705569206,0.692601693,0.695377195,0.652288652,0.680544181,0.652288652,0.76003276,0.669078169,0.704704705,0.696150696,0.690554191,0.708117208,0.701110201,0.708117208,0.653972154,0.683911184,0.721994722,0.71032396,0.677950678,0.707616708,0.672172172,0.728205478,0.738738739,0.723587224
synapse-1.1_synapse-1.2,0.660533405,0.624622845,0.64143319,0.634698276,0.664210668,0.634698276,0.705980603,0.622952586,0.671605603,0.615247845,0.639951509,0.675188578,0.670972522,0.675188578,0.679606681,0.663065733,0.675592672,0.618157328,0.61330819,0.672817888,0.656411638,0.672817888,0.677801724,0.656169181,0.643938578,0.665355603,0.633243534,0.642564655,0.637580819,0.633539871,0.680994073,0.674865302
velocity-1.4_velocity-1.5,0.627692916,0.604963718,0.609749555,0.607250755,0.610413078,0.607250755,0.597862608,0.626027049,0.66180083,0.584366265,0.642982184,0.643250416,0.648586837,0.643250416,0.636346952,0.644372759,0.634059915,0.62897761,0.608916622,0.626062343,0.651826806,0.626062343,0.64203631,0.652476212,0.619794167,0.639410453,0.642135133,0.651502104,0.654389135,0.634963436,0.620224751,0.621227094
velocity-1.5_velocity-1.6,0.74550678,0.755067801,0.750632039,0.740128706,0.74343829,0.740128706,0.758768099,0.742748793,0.735325213,0.722960239,0.718593427,0.746357159,0.741266376,0.746357159,0.739646058,0.741806481,0.725005746,0.715605608,0.716685819,0.751321535,0.709446104,0.751321535,0.716915652,0.735991726,0.726097449,0.7309584,0.72553436,0.750448173,0.725281544,0.725224086,0.737002988,0.746541025
xalan-2.4_xalan-2.5,0.645150131,0.647882353,0.647425028,0.646797673,0.648969378,0.646797673,0.646035465,0.649135891,0.649288333,0.643223505,0.644251899,0.650620437,0.645704784,0.650620437,0.640966198,0.648634007,0.642137652,0.640827828,0.640504183,0.6424355,0.642616084,0.6424355,0.639263543,0.640330634,0.643556531,0.63755268,0.629127354,0.627123335,0.641919544,0.625743152,0.633345294,0.646776565
xalan-2.5_xalan-2.6,0.638494011,0.659859887,0.66283661,0.654954124,0.660975367,0.654954124,0.659486554,0.657167006,0.658047458,0.657365876,0.659350056,0.65624226,0.653739209,0.65624226,0.644540565,0.653507797,0.656610169,0.650846554,0.656911186,0.655037288,0.656690621,0.655037288,0.652733107,0.655334689,0.653448136,0.641195028,0.655638418,0.652715932,0.622668475,0.636958192,0.650838418,0.652946441
xalan-2.6_xalan-2.7,0.569163182,0.569613474,0.570157181,0.567843594,0.568866615,0.567843594,0.567399197,0.568626277,0.569902332,0.571471327,0.571014233,0.570831939,0.570156274,0.570831939,0.569506003,0.570255129,0.571249128,0.569694191,0.570671412,0.569899158,0.570181214,0.569899158,0.570051976,0.569560419,0.568719691,0.569331871,0.569596696,0.569675599,0.568667996,0.56890652,0.558750228,0.553838731
xerces-init_xerces-1.2,0.559822134,0.611007905,0.554703557,0.655256917,0.611501976,0.655256917,0.583083004,0.549644269,0.641136364,0.543280632,0.558833992,0.587766798,0.626086957,0.587766798,0.649743083,0.523636364,0.546027668,0.559416996,0.592411067,0.627667984,0.551215415,0.627667984,0.546818182,0.580019763,0.620039526,0.594802372,0.649822134,0.588043478,0.589525692,0.605464427,0.507094862,0.569881423
xerces-1.2_xerces-1.3,0.470398838,0.62611948,0.659003306,0.679820197,0.691406741,0.679820197,0.657550698,0.657790893,0.556394331,0.636104725,0.598022395,0.689896945,0.695490055,0.689896945,0.610489654,0.563194135,0.717959716,0.642304041,0.622036166,0.683537499,0.749122145,0.683537499,0.496002471,0.477564652,0.435055874,0.601184962,0.514234407,0.540129705,0.476638186,0.527914079,0.713687678,0.698612589
xerces-1.3_xerces-1.4,0.722635671,0.713058688,0.716831407,0.689749991,0.699494271,0.689749991,0.732193473,0.730721361,0.735664629,0.727605046,0.732070397,0.695741799,0.676705582,0.695741799,0.711014888,0.732124742,0.726352446,0.730839109,0.716566608,0.668721655,0.725169109,0.668721655,0.714243624,0.735976314,0.73305287,0.733046477,0.72203681,0.744468527,0.740727243,0.731899903,0.752378395,0.676693328
,0.689273168,0.698322357,0.693981633,0.694085383,0.698885061,0.694085383,0.692534462,0.696104089,0.694203197,0.696415393,0.69620672,0.690733871,0.697436123,0.690733871,0.692295703,0.692226405,0.699882381,0.701501459,0.697201331,0.697866925,0.698590982,0.697866925,0.688106428,0.688542642,0.687523707,0.693252681,0.68628497,0.695562149,0.688125759,0.692763715,0.698958096,0.688552667
