filename,MLP/nsga2_random10p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,mlp3/nsga2_random10p_toZero/FPA_L1_MSE,mlp3/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE,mlp5/nsga2_random10p_toZero/FPA_L1_MSE,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp5/nsga2_random30p_toZero/FPA_L1_MSE,LinearRegression,RidgeCV,LassoLarsCV,MLPRegressor,RandomForestRegressor,linear/CoDE,linear/CoDE_toZero
ivy-1.4,"[0.3748271092669433, 0.8301060396496082]","[0.22337482710926695, 0.8252650991240202]","[0.5020746887966804, 0.834716459197787]","[0.2837713231904103, 0.8363301060396496]","[0.23997233748271093, 0.846934071000461]","[0.20032272936837253, 0.8400184416781927]","[0.40686952512678654, 0.8340248962655602]","[0.38381742738589214, 0.8575380359612724]","[0.25818349469801755, 0.8425541724296911]",0.8584601198709082,0.8098201936376209,0.8095896726602121,0.6908713692946058,0.9721069617335176,0.8607653296449977,0.8603042876901799
ivy-2.0,"[0.36891233766233766, 0.8669338474025974]","[0.23259943181818182, 0.8563311688311688]","[0.4880275974025973, 0.8433441558441559]","[0.7538555194805194, 0.8616071428571429]","[0.1760349025974026, 0.8441558441558441]","[0.17517248376623376, 0.8408583603896104]","[0.7705965909090909, 0.8654119318181818]","[0.2053825081168831, 0.8491781655844156]","[0.17745535714285715, 0.8432426948051948]",0.8615056818181818,0.8477069805194806,0.8296976461038961,0.8253855519480521,0.9559659090909092,0.8595271915584416,0.8577516233766234
jedit-3.2,"[0.4277987372959655, 0.8636337388358485]","[0.240779950723745, 0.8546157991992609]","[0.15698144441022482, 0.8563866646134893]","[0.21023252232830306, 0.8616896365876193]","[0.15721242685555897, 0.8538747305204805]","[0.15678895903911302, 0.8571758546350478]","[0.1560767631659994, 0.8572432245149368]","[0.15722205112411455, 0.8582345241761626]","[0.1575444641207268, 0.8607464582691715]",0.8601593778872806,0.8601978749615029,0.8607560825377272,0.8250692947336002,0.9141419002155836,0.8672717123498614,0.8674160763781953
jedit-4.0,"[0.2870900572618428, 0.8539533807623344]","[0.4187055353114697, 0.8562380704494187]","[0.2525160506680548, 0.8558331887327202]","[0.5019376482156285, 0.8593469836312106]","[0.18017236393082306, 0.8549366649314593]","[0.1797964023367459, 0.8510324483775811]","[0.4507779512985135, 0.856397131123836]","[0.163080571461623, 0.8573225750477182]","[0.1675631904679276, 0.8563248308172826]",0.8538087801492278,0.8538232402105385,0.8537509399039852,0.8180201284053444,0.93284024524264,0.8587107409335416,0.862687257793973
jedit-4.1,"[0.20190830674701643, 0.8449426917168853]","[0.2118043247075505, 0.8474831619992911]","[0.20678984993501123, 0.8587823466855725]","[0.1827956989247312, 0.8476751742880775]","[0.20189353657095593, 0.8446029776674938]","[0.18213104100200875, 0.8366566229469455]","[0.18303202174169916, 0.8510870849580527]","[0.18115620938201582, 0.847217298830202]","[0.1815550041356493, 0.8407036511875221]",0.8373655913978495,0.8373360510457285,0.8364498404820986,0.8142133404230179,0.9245982512111544,0.8511166253101737,0.8509393831974477
jedit-4.2,"[0.13521155724641407, 0.8919335766798622]","[0.15138039175363735, 0.8948126060356794]","[0.16771631278597507, 0.880520281733587]","[0.16060870906380134, 0.8886946686545679]","[0.13834764279471493, 0.8951724847051565]","[0.14572515551899645, 0.8884633180813326]","[0.706518945041386, 0.882551025654208]","[0.141149555292787, 0.883322194231659]","[0.13618837077785204, 0.8860984011104828]",0.8916765204873786,0.8894915428512673,0.8916765204873786,0.6032851781399415,0.959732147447432,0.8910081743869209,0.8979486915839803
jedit-4.3,"[0.6288956639566395, 0.9444444444444444]","[0.3548441734417344, 0.9186991869918699]","[0.5010162601626016, 0.8810128726287263]","[0.5863821138211383, 0.9307249322493225]","[0.24136178861788618, 0.9254742547425474]","[0.22992886178861788, 0.912940379403794]","[0.5213414634146342, 0.9398712737127372]","[0.23458672086720866, 0.9300474254742548]","[0.23763550135501355, 0.895240514905149]",0.8214769647696477,0.7643970189701897,0.5010162601626016,0.3890582655826558,0.9860264227642276,0.8985433604336044,0.8995596205962059
log4j-1.0,"[0.4285367334547662, 0.8412871888281724]","[0.24778384942319368, 0.8432301153612629]","[0.5037037037037037, 0.8388585306618094]","[0.29180327868852457, 0.8434729811778993]","[0.18907103825136612, 0.8420157862780814]","[0.19696417729204616, 0.8357012750455374]","[0.21918639951426835, 0.8452337583485124]","[0.20097146326654525, 0.837765634486946]","[0.20801457194899817, 0.8340012143290831]",0.8265938069216757,0.8245294474802671,0.8191863995142684,0.8581663630843959,0.916575591985428,0.848087431693989,0.8454159077109897
log4j-1.1,"[0.27885641135054406, 0.8345423511841263]","[0.23639854917857905, 0.8311286537230638]","[0.23991892468529977, 0.8319820780883295]","[0.22061019842116492, 0.8413697461062514]","[0.21516961809259655, 0.8449967996586303]","[0.19394068700661404, 0.825474717303179]","[0.2141028376360145, 0.8453168337956048]","[0.20034136974610625, 0.8271815660337103]","[0.2048218476637508, 0.8269682099423938]",0.8481971410283764,0.8270748879880521,0.8287817367185834,0.7914444207382121,0.8939620226157456,0.8423298485171752,0.8384894388734798
log4j-1.2,"[0.441747477715741, 0.5957782348907826]","[0.47146635321774905, 0.5891370359486727]","[0.4446370849250661, 0.5924772259770791]","[0.4342442942501714, 0.594181604466647]","[0.4293270643549809, 0.5965030855127829]","[0.42811244979919677, 0.5886178861788618]","[0.4494367714761485, 0.5989225193456754]","[0.4294544029777647, 0.5936036830247821]","[0.42950827701048094, 0.5886080909001861]",0.5981878734449995,0.5903516505044568,0.5851993339210501,0.584288373004212,0.6514154177686355,0.5988539523949457,0.5982662356744051
lucene-2.0,"[0.2530233448143896, 0.7801186375813242]","[0.24977037887485648, 0.7784156142365097]","[0.25195177956371984, 0.7732682740145427]","[0.27665518561040947, 0.7815346345197092]","[0.2586299272866437, 0.7789896670493686]","[0.2492920015308075, 0.7788748564867968]","[0.25662074244163796, 0.7841944125526215]","[0.2806161500191351, 0.7743398392652124]","[0.24918675851511674, 0.7688097971680061]",0.7710677382319173,0.7711251435132032,0.7671928817451206,0.7782433983926521,0.8764638346727899,0.7800995024875622,0.7817068503635668
lucene-2.2,"[0.3122836355101801, 0.731717811809345]","[0.2963386727688787, 0.7246279019734397]","[0.29783488822390425, 0.7264761681237654]","[0.2868137456238143, 0.7319133955289562]","[0.29609419311936475, 0.7268868939349489]","[0.2880214750924133, 0.7279332668348687]","[0.35220716227581217, 0.7297815329851943]","[0.3045434098065677, 0.7222613389661444]","[0.28362573099415206, 0.7211660701363218]",0.7206184357214106,0.7122670108940132,0.7161640165072659,0.7465137201979307,0.8358661425022981,0.7316738054724324,0.7324023548279841
lucene-2.4,"[0.32404597915115413, 0.7302959791511542]","[0.42239854802680565, 0.722403201787044]","[0.37468819806403575, 0.7268475428145942]","[0.33522431124348473, 0.7301005212211467]","[0.28887751303052867, 0.7236271407297096]","[0.3042256142963515, 0.714240506329114]","[0.29325670141474314, 0.7247859270290394]","[0.30005584512285927, 0.7196807520476545]","[0.30839072970960535, 0.7133562918838422]",0.7325111690245718,0.731608339538347,0.7252745718540581,0.7386355174981385,0.8265799516008935,0.7345169396872673,0.7360154504839911
poi-1.5,"[0.3439682187183853, 0.7061095072420855]","[0.3540849310336319, 0.6926925259703408]","[0.34566461864929554, 0.6848150615638957]","[0.3503220075505219, 0.7107607274162904]","[0.34110592938041306, 0.6797320304981864]","[0.3464048658918746, 0.6809287635403558]","[0.3542391492091692, 0.7038764280603055]","[0.3378735164211513, 0.701927110321514]","[0.34335134601623607, 0.6937165346559084]",0.6937165346559084,0.6583573913687172,0.6570928023293113,0.6239667382239001,0.8247896464085671,0.6929269375971574,0.6969119352530412
poi-2.0,"[0.3441123632206435, 0.8040176384125429]","[0.5015923566878981, 0.7870325004082965]","[0.5015923566878981, 0.7815613261473134]","[0.2940552016985138, 0.8077739670096358]","[0.3013637105993794, 0.8126735260493222]","[0.2870325004082966, 0.8012412216233872]","[0.4095214764004573, 0.8110403397027601]","[0.28286787522456314, 0.7989547607382003]","[0.2543279438183897, 0.796545810877021]",0.7702923403560347,0.763024661113833,0.5015923566878981,0.5788829005389515,0.9455332353421524,0.8149599869345092,0.8158582394251184
poi-2.5,"[0.5012987012987012, 0.6820800167574361]","[0.3606566820276498, 0.6778958944281525]","[0.3593396522832007, 0.6840673439463762]","[0.3608347297863427, 0.6861384583158777]","[0.32692448680351904, 0.6809384164222874]","[0.35431242144951824, 0.6792993297025555]","[0.36782048596564726, 0.681100754084625]","[0.33622224549643903, 0.6799643904482614]","[0.35366045245077504, 0.6760578131545874]",0.6759687892752408,0.6721145789694177,0.6439228110599078,0.6651916631755341,0.7586772098868874,0.6809488898198576,0.6830802262253876
poi-3.0,"[0.3668054298642534, 0.7160452488687783]","[0.3699547511312217, 0.7157782805429864]","[0.30131221719457013, 0.7137285067873304]","[0.31134841628959276, 0.7166515837104073]","[0.2994162895927602, 0.7149886877828054]","[0.31102488687782803, 0.7128642533936651]","[0.3593755656108597, 0.7147239819004525]","[0.300710407239819, 0.7104072398190046]","[0.3024072398190045, 0.7075746606334842]",0.6933891402714932,0.6952398190045249,0.7015316742081448,0.6969457013574661,0.7939728506787328,0.7155837104072398,0.7189909502262444
synapse-1.0,"[0.1737943585077343, 0.8798908098271155]","[0.1659084015771914, 0.8665453442523506]","[0.5031847133757961, 0.8565362450712769]","[0.5031847133757961, 0.8835304822565969]","[0.17076129814983318, 0.8607825295723385]","[0.17076129814983318, 0.8660903851986654]","[0.22899605702153472, 0.886563542614498]","[0.1713679102214134, 0.8626023657870792]","[0.181073703366697, 0.854109796784956]",0.856839551107067,0.8249924173491052,0.821656050955414,0.7145890203215044,0.9626933575978162,0.8610858356081286,0.8647255080376101
synapse-1.1,"[0.6332696332696333, 0.7857857857857858]","[0.34655109655109656, 0.7707707707707707]","[0.301028301028301, 0.768040768040768]","[0.2904267904267904, 0.7899262899262899]","[0.2716352716352716, 0.7716807716807716]","[0.25234325234325233, 0.766084266084266]","[0.2877422877422877, 0.7861952861952862]","[0.2684957684957685, 0.778050778050778]","[0.2803940303940304, 0.7626717626717626]",0.7966147966147966,0.7503412503412503,0.7464282464282465,0.7965692965692965,0.9010601510601509,0.7891527891527892,0.7882882882882883
synapse-1.2,"[0.29183728448275864, 0.7429418103448275]","[0.3687365301724138, 0.7359375]","[0.501953125, 0.7254849137931034]","[0.3937769396551724, 0.7416756465517241]","[0.2920258620689655, 0.7379040948275862]","[0.2921066810344828, 0.7231546336206897]","[0.29216056034482757, 0.7416756465517241]","[0.29725215517241377, 0.73828125]","[0.2916756465517241, 0.7244612068965517]",0.7333512931034483,0.7242456896551724,0.7011853448275862,0.6876077586206897,0.8811961206896551,0.7465786637931034,0.7456088362068966
velocity-1.4,"[0.43763362487852286, 0.6321428571428571]","[0.4219387755102041, 0.6321185617103985]","[0.4300413022351798, 0.6324344023323615]","[0.42551020408163265, 0.6375850340136054]","[0.4179421768707483, 0.6194849368318756]","[0.4198372206025267, 0.6191448007774538]","[0.44735179786200197, 0.6394314868804665]","[0.4045189504373178, 0.6303571428571428]","[0.41168610301263364, 0.6249149659863945]",0.6489310009718173,0.6502186588921283,0.6497570456754129,0.5354713313896987,0.7136175898931001,0.63955296404276,0.6357628765792032
velocity-1.5,"[0.537460823898128, 0.7150520936273541]","[0.34899906824406357, 0.7131179941835841]","[0.34490498912951406, 0.7049863060112376]","[0.3251263517519835, 0.713230934297089]","[0.32058051218341477, 0.7116215376796454]","[0.31827935737075413, 0.7129344664991388]","[0.324773413897281, 0.7194426405398537]","[0.3212158003218793, 0.7111133071688737]","[0.32084874495298865, 0.7020569218172065]",0.7049298359544851,0.7063980574300477,0.7017675127763503,0.6804218313239405,0.7901502103509614,0.7036169071349917,0.7086992122427083
velocity-1.6,"[0.2605148241783498, 0.8030108021144564]","[0.2926223856584693, 0.7931395081590439]","[0.29751781199724203, 0.778246380142496]","[0.2576419213973799, 0.7976327281084808]","[0.2979774764421972, 0.7943231441048035]","[0.2925074695472305, 0.7884624224316249]","[0.2882325902091473, 0.8141806481268674]","[0.27088025741208915, 0.7892898184325442]","[0.2689956331877729, 0.7897494828774995]",0.7798437140887152,0.7508618708342908,0.7757986669731096,0.7059296713399219,0.8979315099977017,0.7879797747644219,0.7880027579866697
xalan-2.4,"[0.2145175018619002, 0.8004929602439976]","[0.2593937298294145, 0.8003289357023797]","[0.5006915629322269, 0.7923892612689293]","[0.2191367876015179, 0.8041015001595915]","[0.2146770933077987, 0.7999432563747917]","[0.21482781856225838, 0.7973188637089053]","[0.44013547540518494, 0.8086365570805405]","[0.21379047416391814, 0.8044738802000213]","[0.21480121998794197, 0.7927084441607263]",0.7851367166719864,0.7813419867361776,0.77753839060893,0.8132957406816328,0.9421791325318296,0.8059634003617406,0.8054934922154839
xalan-2.5,"[0.37004828878522866, 0.6623572619625556]","[0.4477125562567866, 0.659717678292092]","[0.5006226650062264, 0.6545991608680255]","[0.40428196522926035, 0.6565281324974848]","[0.36782264249178576, 0.6584148895502506]","[0.3699920026829709, 0.6566758835159113]","[0.3648793483945562, 0.6679413123573792]","[0.3677733921523102, 0.6510167849847441]","[0.3670252560431339, 0.6559230568982136]",0.6587819218420565,0.6523465441505841,0.6584934555679854,0.6312627083465254,0.8106793498017087,0.6659935786938341,0.6643706627454016
xalan-2.6,"[0.667749604519774, 0.7138268926553673]","[0.35208949152542374, 0.7050368361581921]","[0.30677333333333334, 0.7026305084745763]","[0.35903186440677964, 0.7048054237288136]","[0.30408677966101694, 0.7102870056497175]","[0.30183050847457626, 0.7093405649717515]","[0.3035597740112994, 0.716003615819209]","[0.3056605649717514, 0.7126933333333333]","[0.3066775141242938, 0.7091534463276836]",0.6963489265536723,0.695798418079096,0.6930576271186439,0.7182743502824859,0.8246725423728813,0.7090657627118644,0.7071575141242938
xalan-2.7,"[0.5193720938458232, 0.5780552086535942]","[0.43106173766593475, 0.5759130323584708]","[0.44500039451595613, 0.5722635330309618]","[0.43097467207561646, 0.575556154131489]","[0.43040783880531497, 0.5735336930230533]","[0.4306912554404657, 0.5733210171800363]","[0.43388728815173355, 0.5773038144704825]","[0.4324325672468319, 0.5767215633352288]","[0.43102546033663547, 0.573649780476811]",0.5673601985095459,0.5678481285886214,0.5668704545640054,0.5701014042047239,0.6073922313913172,0.5758876382279613,0.5756060354592756
xerces-init,"[0.4173874473275671, 0.7680195165225105]","[0.405189620758483, 0.7684630738522954]","[0.4674354993716271, 0.7622532712353072]","[0.3513713314112516, 0.7693871516226806]","[0.3224661787536039, 0.7661343978709249]","[0.3460856065646485, 0.754232276188364]","[0.36016855178531826, 0.7697198196200192]","[0.34227840615066163, 0.7653581725438013]","[0.3400975826125527, 0.7690360020699342]",0.7507577437717158,0.734124343904783,0.6756302210394026,0.7493901086715458,0.8270865676055297,0.764378650107193,0.7595549641457825
xerces-1.2,"[0.4631719367588933, 0.7794466403162056]","[0.39873517786561263, 0.7566403162055336]","[0.4115513833992095, 0.7607509881422925]","[0.3825494071146245, 0.788399209486166]","[0.39543478260869563, 0.7720750988142292]","[0.3035869565217391, 0.7550098814229249]","[0.4368774703557312, 0.7701581027667984]","[0.30808300395256916, 0.7766600790513833]","[0.3942193675889328, 0.7586166007905139]",0.7305335968379446,0.6989130434782609,0.5870948616600791,0.719100790513834,0.9255731225296444,0.7330830039525692,0.7320355731225296
xerces-1.3,"[0.6020199247389311, 0.8520285031282526]","[0.20829473058138603, 0.8465840853721305]","[0.48095025677978703, 0.8435073030687759]","[0.21349895343650277, 0.8575072344416612]","[0.20789440574637705, 0.8523716387011174]","[0.20437154719829806, 0.8416543709753057]","[0.2453762481556463, 0.8517997460796761]","[0.22085921147445356, 0.8484827688753159]","[0.19426620457742855, 0.8436674330027794]",0.8018735202278421,0.776979034416498,0.7880909080511044,0.8238456347436205,0.9567191664093149,0.8578618078669549,0.8540301273032975
xerces-1.4,"[0.24527251376741172, 0.7775614631817639]","[0.2387175421547065, 0.7708754241044788]","[0.26834571547917413, 0.7688044516052035]","[0.2439826181099006, 0.7752523315090447]","[0.2486200620599117, 0.7795418606038906]","[0.2490564208139396, 0.7683787487426048]","[0.24232136463608, 0.7732889835132047]","[0.24474557993623514, 0.7770979319045914]","[0.2490436337442245, 0.7735335362215061]",0.7579556885410806,0.7632783063099927,0.763730116106593,0.7750908947538915,0.8285770761938861,0.7720939252894141,0.7719159719025455
