filename,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,LassoLarsCV,RandomForestRegressor
ivy-1.4,0.867911479944675,0.8543107422775472,0.855002305209774,0.8662978331028124,0.8573075149838635,0.843015214384509,0.8317196864914708,0.8241124942369755,0.8393268787459659,0.8095896726602121,0.9721069617335176
ivy-2.0,0.8576501623376623,0.858208198051948,0.8613534902597403,0.8535409902597403,0.8574979707792207,0.859577922077922,0.8520190746753247,0.8486201298701299,0.8554180194805194,0.8296976461038961,0.9559659090909092
jedit-3.2,0.8678972898059747,0.8634412534647367,0.8675508161379735,0.8647982753310748,0.8658473206036341,0.8637011087157376,0.8668867416076378,0.8601497536187249,0.8597455343393902,0.8607560825377272,0.9141419002155836
jedit-4.0,0.8662155127537741,0.8592746833246573,0.8647116663774654,0.8664468737347446,0.8607206894557233,0.8635693215339233,0.8615449129504309,0.8569032332697091,0.8610532708658685,0.8537509399039852,0.93284024524264
jedit-4.1,0.8524311709795581,0.854114971050455,0.8546762377407539,0.8521357674583481,0.847778565520501,0.8499940919295758,0.848517074323526,0.8477637953444405,0.8457255110480917,0.8364498404820986,0.9245982512111544
jedit-4.2,0.8931417407845355,0.8886689630353195,0.8913937586756465,0.885481466248522,0.8861241067297311,0.8873322708344044,0.8843247133823454,0.8803917536373451,0.8757904477918873,0.8916765204873786,0.959732147447432
jedit-4.3,0.9183604336043361,0.8853319783197832,0.9065887533875339,0.893970189701897,0.8944783197831978,0.8909214092140921,0.8943089430894309,0.8824525745257452,0.8860941734417345,0.5010162601626016,0.9860264227642276
log4j-1.0,0.852823315118397,0.8451730418943534,0.8460230722525804,0.8524590163934426,0.8428658166363084,0.8443230115361263,0.8391013964784456,0.8414086217364906,0.8426229508196721,0.8191863995142684,0.916575591985428
log4j-1.1,0.8470236825261361,0.8412630680605931,0.8454235118412631,0.8433966289737572,0.8378493705995306,0.8396628973757201,0.8378493705995306,0.8337956048645189,0.8334755707275443,0.8287817367185834,0.8939620226157456
log4j-1.2,0.5970712116759722,0.5976785189538643,0.5985209129199726,0.5955627387599177,0.5935547066314036,0.5951513370555392,0.5939171319424038,0.5903320599471055,0.5913997453227544,0.5851993339210501,0.6514154177686355
lucene-2.0,0.787294297742059,0.7836203597397627,0.787217757367011,0.7849789513968618,0.7812667432070417,0.7815537696134711,0.7774971297359357,0.7731725985457328,0.7748947569843092,0.7671928817451206,0.8764638346727899
lucene-2.2,0.7337909992372235,0.7294197031039136,0.7315662344266464,0.7315809032056172,0.7298402081010776,0.7310234896047253,0.7289503021768468,0.7306909972813863,0.7248723816229538,0.7161640165072659,0.8358661425022981
lucene-2.4,0.734749627699181,0.7347077438570365,0.7330510052122114,0.7332697319434103,0.730533320923306,0.7327717795979151,0.7325856291883842,0.7305658972449739,0.7302075577066269,0.7252745718540581,0.8265799516008935
poi-1.5,0.6980716559330816,0.6885348039578553,0.69901547116737,0.6822735460310411,0.7016063365163965,0.6831063241789425,0.6947220371604116,0.6747908801539714,0.6755187899425075,0.6570928023293113,0.8247896464085671
poi-2.0,0.8125918667319941,0.8076923076923077,0.8075289890576515,0.8074065000816593,0.802629430017965,0.8000163318634657,0.8028744079699494,0.7978931896129349,0.7999346725461375,0.5015923566878981,0.9455332353421524
poi-2.5,0.6881964809384165,0.685609551738584,0.6865102639296188,0.6849654377880184,0.6847585881860075,0.6834363217427734,0.6855362379555928,0.682985965647256,0.679147465437788,0.6439228110599078,0.7586772098868874
poi-3.0,0.7171674208144796,0.7148733031674208,0.7171447963800905,0.7144389140271493,0.7127285067873304,0.7116108597285068,0.7093122171945702,0.7115339366515837,0.7083800904977375,0.7015316742081448,0.7939728506787328
synapse-1.0,0.872914771003943,0.8689717925386715,0.8765544434334244,0.8771610555050046,0.8674552623597209,0.8601759175007583,0.861995753715499,0.8629056718228693,0.8632089778586594,0.821656050955414,0.9626933575978162
synapse-1.1,0.7872872872872873,0.7761852761852762,0.778005278005278,0.7804622804622805,0.7725452725452725,0.7795067795067795,0.7748657748657749,0.7724087724087724,0.7789152789152789,0.7464282464282465,0.9010601510601509
synapse-1.2,0.7458782327586206,0.7452855603448276,0.7502963362068965,0.7460129310344827,0.7384698275862069,0.7444773706896551,0.7441002155172414,0.7371497844827586,0.7345366379310345,0.7011853448275862,0.8811961206896551
velocity-1.4,0.6399902818270166,0.6332118561710398,0.6248906705539359,0.6326773566569485,0.6304907677356657,0.6303449951409135,0.6305150631681244,0.6284863945578232,0.6250485908649174,0.6497570456754129,0.7136175898931001
velocity-1.5,0.7145156280882062,0.7116356551938334,0.7107744868283593,0.7073156958522744,0.7082262755174069,0.7059180619476523,0.7053957139226925,0.7037298472484965,0.7017816302905384,0.7017675127763503,0.7901502103509614
velocity-1.6,0.8046426108940473,0.8002528154447254,0.8045276947828085,0.8024592047805102,0.8000229832222477,0.7986784647207539,0.7972879797747644,0.7898184325442427,0.7908986439898874,0.7757986669731096,0.8979315099977017
xalan-2.4,0.8047221335603079,0.8013973117707558,0.8028336347838423,0.8027361066780154,0.7972124694116396,0.8010603964960812,0.8021775366173707,0.7966982303081888,0.8024701209348513,0.77753839060893,0.9421791325318296
xalan-2.5,0.6614062613598253,0.6606405358436935,0.6620043011963141,0.6656980766569808,0.6543306292551707,0.6611564917810564,0.6587197726041468,0.6449965172974228,0.6593823069328061,0.6584934555679854,0.8106793498017087
xalan-2.6,0.7067823728813559,0.7054942372881355,0.7077776271186441,0.7042350282485875,0.7060926553672316,0.7053270056497175,0.7037821468926554,0.705025988700565,0.7053984180790961,0.6930576271186439,0.8246725423728813
xalan-2.7,0.5748496531433852,0.5744528698541742,0.5751698005744516,0.5750949785827717,0.5745730385074781,0.5743413170665789,0.5747131596918966,0.5739663001749474,0.5741173045581557,0.5668704545640054,0.6073922313913172
xerces-init,0.756782730834627,0.754232276188364,0.7582982183780587,0.7519775264286243,0.7531973090855326,0.7542692392991794,0.7507947068825312,0.7475419531307755,0.7466178753603904,0.6756302210394026,0.8270865676055297
xerces-1.2,0.7531225296442687,0.7633300395256917,0.7370158102766798,0.7451185770750988,0.74,0.7282806324110672,0.7371640316205533,0.7151679841897233,0.74300395256917,0.5870948616600791,0.9255731225296444
xerces-1.3,0.8604753571469421,0.8495865216346978,0.8522915737341157,0.8532923858216381,0.8441077903212892,0.8439305036086424,0.8519884706447517,0.8453602351622459,0.841231170435439,0.7880909080511044,0.9567191664093149
xerces-1.4,0.7720987204405572,0.7721413440062742,0.7722686819088538,0.77113809182821,0.7706138219698907,0.7700362726544252,0.7713496112730807,0.7701550858438614,0.7698476633761274,0.763730116106593,0.8285770761938861
