filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,RidgeCV,LassoLarsCV
jedit-4.1,0.811325771,0.808386506,0.81463429,0.814146875,0.81541711,0.835164835,0.816731655,0.8322108,0.819537989,0.819552759,0.812743708,0.837350821,0.832565284,0.833148706,0.838222262,0.843473059,0.822935129,0.836080586,0.811355311,0.837985939,0.836213518,0.837779156,0.832639135,0.83308224,0.834854661,0.830970105,0.832653905,0.832107409,0.834404171,0.836021505,0.837180964,0.836102741,0.81210859,0.813275434,0.825800544,0.838458584,0.825756233,0.840437788,0.818474536,0.840866123,0.835519319,0.84057072,0.824515538,0.822078459,0.827395723,0.837025877,0.8381041,0.841013825,0.821605814,0.814929694,0.833392414,0.839662354,0.803984994,0.794650242
jedit-4.2,0.873579765,0.862963344,0.872011722,0.869878155,0.876510205,0.877487019,0.876587322,0.877229962,0.871060614,0.880263226,0.878078248,0.876921495,0.883167961,0.879517763,0.878438127,0.877718369,0.872345895,0.877615547,0.876124621,0.87296283,0.874042466,0.875276335,0.87525063,0.877255668,0.872731479,0.874350933,0.874685106,0.866716364,0.88046887,0.877050023,0.87836101,0.876870084,0.876895789,0.876278855,0.874865045,0.87776978,0.874402344,0.875867565,0.877589841,0.875019279,0.880211814,0.876664439,0.875379158,0.873862526,0.876458794,0.874530872,0.875173513,0.871369081,0.878386715,0.875739037,0.875777595,0.87442805,0.882576731,0.88046887
jedit-4.3,0.743055556,0.695799458,0.706808943,0.756097561,0.750169377,0.746612466,0.765413279,0.825372629,0.7725271,0.717310298,0.713584011,0.668699187,0.746443089,0.764227642,0.729336043,0.73102981,0.737466125,0.764227642,0.712737127,0.7725271,0.719850949,0.742547425,0.721544715,0.77049458,0.772865854,0.764227642,0.764227642,0.746104336,0.739329268,0.758130081,0.740006775,0.717140921,0.741361789,0.695799458,0.723915989,0.829776423,0.702913279,0.703421409,0.697662602,0.667852304,0.70901084,0.755420054,0.69004065,0.711720867,0.658028455,0.724932249,0.697662602,0.66903794,0.665819783,0.68495935,0.711212737,0.693089431,0.647865854,0.650575881
log4j-1.1,0.80787284,0.792617879,0.811819927,0.811819927,0.799018562,0.810646469,0.810753147,0.818327288,0.794644762,0.825581395,0.801525496,0.815233625,0.818327288,0.812566674,0.817047152,0.81715383,0.800298699,0.819607425,0.813526776,0.791337743,0.818540644,0.801258801,0.805312567,0.810433113,0.80077875,0.800725411,0.823447834,0.808192874,0.802912311,0.795604865,0.801952208,0.800725411,0.803925752,0.8231278,0.797845103,0.816193727,0.821847664,0.813100064,0.823767869,0.808726264,0.815767015,0.807232771,0.800085342,0.813740132,0.820674205,0.817900576,0.823234478,0.808619586,0.805632601,0.815980371,0.817260508,0.821634308,0.803285684,0.800832089
log4j-1.2,0.569477912,0.555656773,0.564619453,0.556548144,0.570956999,0.570751298,0.553227544,0.576892938,0.556969341,0.572377314,0.563938682,0.563972965,0.563321579,0.563938682,0.567607013,0.564609658,0.566206289,0.561308649,0.563938682,0.554079734,0.563938682,0.565887942,0.567984132,0.566588304,0.564188461,0.5597512,0.564413753,0.568106573,0.563938682,0.573273582,0.578357332,0.568870604,0.558908806,0.563938682,0.555294348,0.570839455,0.549691449,0.563938682,0.565804682,0.550592614,0.576315016,0.566666667,0.563938682,0.563938682,0.561671075,0.578460182,0.568694289,0.563938682,0.566794005,0.56414928,0.58136938,0.566745029,0.565574493,0.562229405
lucene-2.2,0.708707387,0.719435154,0.724569227,0.715445246,0.702800759,0.72477459,0.698898864,0.721899509,0.704032936,0.72093137,0.72045219,0.713254709,0.717518434,0.718447456,0.716203133,0.717342408,0.705529152,0.719669855,0.716203133,0.704971738,0.718022062,0.716540515,0.718823955,0.716203133,0.719317804,0.720354398,0.716208023,0.707035146,0.71647695,0.718085627,0.718486573,0.718735942,0.722564494,0.715337675,0.71659919,0.719718751,0.716203133,0.716203133,0.71948405,0.717029474,0.720061022,0.721420329,0.716203133,0.717606446,0.714887833,0.718985312,0.716608969,0.716203133,0.716755657,0.713430734,0.717528213,0.717635784,0.719073324,0.719259129
lucene-2.4,0.693875652,0.690057241,0.697449739,0.672631236,0.668889613,0.68789557,0.664794304,0.683660648,0.679718913,0.68444248,0.680840469,0.665929821,0.695448622,0.683625745,0.697617275,0.701079672,0.673157111,0.695567293,0.695108898,0.69273548,0.695108898,0.707059754,0.700928425,0.699139054,0.690287602,0.695108898,0.706505957,0.689659345,0.695108898,0.701624162,0.695108898,0.699436895,0.693140357,0.681929449,0.669620253,0.698980827,0.699946482,0.695108898,0.687002048,0.674823157,0.693079859,0.695108898,0.695108898,0.696244415,0.680919583,0.690236411,0.695108898,0.695108898,0.695108898,0.688547096,0.701475242,0.695108898,0.655724125,0.69422003
poi-2.0,0.674750939,0.65066144,0.688388045,0.678588927,0.666503348,0.751020741,0.716397191,0.715172301,0.694716642,0.664543524,0.734688878,0.67944635,0.719745223,0.76081986,0.682345256,0.719826882,0.696635636,0.670708803,0.71525396,0.688878001,0.772252164,0.757512657,0.758002613,0.757553487,0.65670423,0.75,0.702678426,0.728401111,0.745467908,0.757716805,0.751265719,0.762371387,0.697288911,0.718683652,0.690102891,0.755756982,0.752000653,0.709496979,0.714519027,0.743099788,0.728156133,0.762698024,0.695165768,0.700024498,0.6818553,0.730769231,0.764453699,0.738853503,0.707251347,0.697043933,0.716723828,0.703617508,0.693287604,0.708598726
poi-2.5,0.543522204,0.518323209,0.643585044,0.522962924,0.5434646,0.618663594,0.534452241,0.606619187,0.562746125,0.51013563,0.638128404,0.529828236,0.650924277,0.611955383,0.618509112,0.63535819,0.567380603,0.609530792,0.59620863,0.528176058,0.62607876,0.547949832,0.55756703,0.626987327,0.58757855,0.626987327,0.609530792,0.584213972,0.55756703,0.643922811,0.595614265,0.596284562,0.521080331,0.609530792,0.544710934,0.610609552,0.502372225,0.55756703,0.649015501,0.575371806,0.646182447,0.579637097,0.55756703,0.609530792,0.52825199,0.652325094,0.638788228,0.55756703,0.644519795,0.542637202,0.655166003,0.55756703,0.472659196,0.501298701
poi-3.0,0.663660633,0.645511312,0.685633484,0.665574661,0.660800905,0.683484163,0.661723982,0.702307692,0.66739819,0.702432127,0.702294118,0.694368778,0.701199095,0.694269231,0.701807692,0.69911991,0.656864253,0.691368778,0.702660633,0.685574661,0.703095023,0.702253394,0.690133484,0.693386878,0.672952489,0.691447964,0.692144796,0.65679638,0.691696833,0.698074661,0.6919819,0.688850679,0.672846154,0.691199095,0.677893665,0.693054299,0.701531674,0.690570136,0.6949819,0.689429864,0.701316742,0.701,0.692434389,0.701590498,0.696941176,0.702904977,0.702864253,0.68610181,0.701531674,0.704556561,0.702617647,0.702253394,0.689058824,0.701531674
synapse-1.1,0.651105651,0.688734189,0.702361452,0.716079716,0.688097188,0.723132223,0.677268177,0.718354718,0.652106652,0.693648194,0.712166712,0.646032396,0.721130221,0.748407498,0.744767495,0.714760215,0.764582765,0.692692693,0.710528711,0.733187733,0.717148967,0.718627719,0.731822732,0.732641733,0.751706252,0.710528711,0.710665211,0.708117208,0.716443716,0.737100737,0.717262717,0.716443716,0.7001092,0.713122213,0.68973519,0.759031759,0.715943216,0.717899718,0.725088725,0.736008736,0.742560743,0.747611248,0.72977523,0.733324233,0.708572209,0.735553736,0.735462735,0.72031122,0.72954773,0.728205478,0.733324233,0.732914733,0.723587224,0.738738739
synapse-1.2,0.640678879,0.622548491,0.722373384,0.676293103,0.665436422,0.704552802,0.676602909,0.716621767,0.712634698,0.650296336,0.660748922,0.6765625,0.680657328,0.703340517,0.69299569,0.71174569,0.679606681,0.650296336,0.681734914,0.700740841,0.681357759,0.675296336,0.677155172,0.68828125,0.708970905,0.650296336,0.666891164,0.676400862,0.673706897,0.71169181,0.690894397,0.689412716,0.631357759,0.662944504,0.668561422,0.683809267,0.658917026,0.650296336,0.711880388,0.699057112,0.712095905,0.684240302,0.66953125,0.681654095,0.676495151,0.711772629,0.683970905,0.650296336,0.66487069,0.674811422,0.712984914,0.655563039,0.674865302,0.680994073
velocity-1.5,0.610533077,0.607561341,0.676419516,0.644944518,0.646483327,0.644040997,0.658342039,0.637603411,0.602380213,0.643208064,0.671563091,0.647217438,0.665026682,0.667299602,0.660219669,0.67526188,0.648516249,0.633304628,0.646257447,0.643405709,0.665414914,0.662196121,0.664998447,0.669777226,0.650323291,0.640292797,0.668852528,0.637434001,0.662612587,0.675558348,0.662584352,0.662817291,0.644549228,0.664899624,0.642022193,0.668916057,0.683245334,0.638386933,0.646906853,0.637066945,0.685673547,0.653584437,0.651699749,0.667334896,0.642756303,0.686471186,0.654367959,0.656492645,0.653259734,0.647231555,0.682412401,0.654389135,0.621227094,0.620224751
velocity-1.6,0.759595495,0.731372098,0.728016548,0.768834751,0.756745576,0.764628821,0.750586072,0.759158814,0.758768099,0.755067801,0.750632039,0.740128706,0.752826936,0.746724891,0.744311652,0.749344978,0.744541485,0.722960239,0.719696621,0.747345438,0.744805792,0.740255114,0.742289129,0.741048035,0.726844404,0.716685819,0.718478511,0.751942082,0.744656401,0.743989887,0.737784417,0.73652034,0.715099977,0.732245461,0.761595036,0.750333257,0.761526086,0.719455298,0.754309354,0.750815904,0.7482188,0.749184096,0.715467709,0.730579177,0.744564468,0.760951505,0.741576649,0.711905309,0.713077453,0.728430246,0.752263847,0.725281544,0.746541025,0.737002988
xalan-2.5,0.647383986,0.648514399,0.647217473,0.632965363,0.634981109,0.651401407,0.63997181,0.650533663,0.646035465,0.647882353,0.648544887,0.647362879,0.64960846,0.649941486,0.650402328,0.647217473,0.64905498,0.643223505,0.644621277,0.650650925,0.651141083,0.643852033,0.646989983,0.649525203,0.647286658,0.641536095,0.640548743,0.6424355,0.650493793,0.640504183,0.650415227,0.650330798,0.649848848,0.649451328,0.653172074,0.651376782,0.642046187,0.640571023,0.642261951,0.650971053,0.650294447,0.648638697,0.638910582,0.640906394,0.640287247,0.644878082,0.637892742,0.635559214,0.636696662,0.63824453,0.639684516,0.641999282,0.646776565,0.633345294
xalan-2.6,0.677207684,0.660319096,0.679458531,0.674362034,0.667401582,0.693541243,0.66720452,0.695834576,0.659486554,0.660292881,0.695080678,0.654954124,0.664832542,0.661247458,0.694338531,0.658838418,0.647790282,0.694338531,0.694338531,0.65624226,0.694338531,0.658737175,0.694338531,0.663115028,0.653345085,0.694338531,0.694338531,0.662028475,0.694338531,0.664731299,0.694338531,0.664560452,0.66268565,0.667426893,0.656954576,0.658849266,0.665386667,0.694338531,0.694400904,0.693553898,0.699444068,0.665029605,0.694338531,0.694379209,0.657288136,0.694319548,0.694338531,0.694338531,0.694338531,0.64484791,0.661713898,0.694338531,0.652946441,0.650838418
xalan-2.7,0.57007737,0.568562792,0.573350039,0.568473006,0.565882351,0.571941118,0.571413737,0.57153708,0.571998709,0.570504536,0.571536626,0.571160249,0.571795102,0.572687071,0.571708943,0.571536626,0.57066461,0.571957443,0.571518034,0.57143641,0.571642284,0.571252756,0.572131121,0.572347424,0.571004256,0.570496827,0.571845437,0.570922632,0.571727082,0.572783659,0.571768801,0.572044509,0.571864029,0.572146085,0.57123371,0.57177787,0.571918898,0.569925459,0.571759732,0.571666771,0.571989186,0.57113032,0.571746128,0.570735804,0.570017059,0.570823323,0.570166703,0.569925459,0.569986677,0.570118182,0.572049497,0.571921166,0.553838731,0.558750228
xerces-1.2,0.569604743,0.59013834,0.647875494,0.660958498,0.644249012,0.69798419,0.703379447,0.676699605,0.649130435,0.646660079,0.575681818,0.691600791,0.574565217,0.596936759,0.611501976,0.592944664,0.685869565,0.54513834,0.590810277,0.595750988,0.549881423,0.685909091,0.632282609,0.645711462,0.644911067,0.561492095,0.618853755,0.688794466,0.587134387,0.553458498,0.629209486,0.569288538,0.637134387,0.627183794,0.67916996,0.649436759,0.589219368,0.613320158,0.635671937,0.652766798,0.638873518,0.643517787,0.603537549,0.613102767,0.649822134,0.661956522,0.641383399,0.571640316,0.604160079,0.624288538,0.664575099,0.664575099,0.569881423,0.507094862
xerces-1.3,0.667593133,0.492845623,0.68187901,0.554552837,0.712166444,0.726412289,0.742002082,0.766004415,0.721236661,0.62611948,0.770150637,0.718331446,0.741933455,0.808250123,0.785608894,0.78158277,0.689096295,0.636688055,0.653713299,0.701826625,0.668908486,0.733818298,0.724141875,0.745856638,0.705429549,0.642304041,0.682925574,0.725102655,0.716621487,0.694672248,0.782046003,0.771157168,0.68965675,0.650859555,0.704697526,0.699338892,0.70739114,0.644054032,0.665322719,0.680151895,0.787164442,0.60763591,0.58808862,0.501103753,0.65753926,0.802611262,0.699338892,0.5955461,0.533118302,0.672888858,0.782766588,0.678722163,0.698612589,0.713687678
xerces-1.4,0.716545829,0.713342135,0.735406757,0.711014356,0.696920874,0.754848963,0.708501696,0.750840217,0.739352633,0.753274023,0.759181116,0.689749991,0.753589437,0.746601303,0.747851772,0.752784917,0.722756082,0.752635735,0.754940604,0.732394869,0.749533272,0.759182182,0.753605421,0.756412715,0.72904146,0.752784917,0.756328001,0.723828598,0.750260004,0.754104649,0.751379405,0.748090464,0.744435493,0.758096346,0.726892699,0.757915196,0.718097859,0.741581846,0.755530408,0.740334041,0.75411051,0.756083448,0.734584122,0.754321497,0.750047419,0.767229511,0.764277296,0.730209346,0.743238837,0.755080196,0.76598437,0.753989033,0.676693328,0.752378395
,0.702313117,0.685317859,0.724108663,0.701536875,0.702926189,0.7315161,0.709034752,0.731780444,0.711981225,0.710297455,0.724322704,0.707553956,0.728556759,0.732254395,0.731267686,0.731334632,0.709393199,0.714252041,0.7190562,0.709140839,0.723624262,0.727256586,0.726020096,0.730681428,0.714065471,0.718312959,0.724483285,0.717973921,0.723453086,0.728081259,0.7291159,0.72993191,0.711962518,0.718999306,0.706886458,0.733621969,0.718235936,0.715360742,0.72456421,0.717175255,0.733900721,0.725536506,0.712163272,0.716227272,0.710933374,0.740581622,0.727435646,0.710668169,0.713802093,0.712907278,0.734324965,0.720324032,0.688552667,0.698958096
