filename,nsga2/FPA_NNZ,nsga2/FPA_NNZ_MSE,nsga2/FPA_MSE,nsga2_toZero/FPA_NNZ,nsga2_toZero/FPA_NNZ_MSE,nsga2_toZero/FPA_MSE,LinearRegression,RidgeCV,CoDE
jedit-4.3,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 2.0]","[0.0, 3.0]","[0.0, 3.0]",21.0,21.0,21.0
log4j-1.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 8.0]","[1.0, 7.0]",21.0,21.0,21.0
log4j-1.1,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 5.0]","[1.0, 7.0]",21.0,21.0,21.0
log4j-1.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 5.0]","[2.0, 6.0]",21.0,21.0,21.0
lucene-2.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 7.0]","[1.0, 6.0]",21.0,21.0,21.0
lucene-2.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 7.0]","[0.0, 8.0]","[1.0, 7.0]",21.0,21.0,21.0
lucene-2.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 6.0]","[1.0, 10.0]",21.0,21.0,21.0
poi-1.5,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 6.0]","[1.0, 9.0]",21.0,21.0,21.0
poi-2.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 4.0]","[0.0, 7.0]",21.0,21.0,21.0
poi-2.5,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[1.0, 4.0]","[0.0, 4.0]","[1.0, 4.0]",21.0,21.0,21.0
poi-3.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 7.0]","[1.0, 6.0]",21.0,21.0,21.0
synapse-1.0,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 2.0]","[0.0, 4.0]","[0.0, 5.0]",21.0,21.0,21.0
synapse-1.1,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 6.0]","[1.0, 7.0]",21.0,21.0,21.0
synapse-1.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[1.0, 5.0]","[0.0, 7.0]","[1.0, 6.0]",21.0,21.0,21.0
velocity-1.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 3.0]","[1.0, 3.0]",21.0,21.0,21.0
velocity-1.5,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 6.0]","[2.0, 7.0]",21.0,21.0,21.0
velocity-1.6,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 4.0]","[1.0, 5.0]",21.0,21.0,21.0
xalan-2.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 6.0]","[0.0, 8.0]",21.0,21.0,21.0
xalan-2.5,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 5.0]","[1.0, 4.0]",21.0,21.0,21.0
xalan-2.6,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 6.0]","[1.0, 7.0]",21.0,21.0,21.0
xalan-2.7,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 5.0]","[0.0, 7.0]","[1.0, 11.0]",21.0,21.0,21.0
xerces-init,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 3.0]","[0.0, 21.0]","[1.0, 21.0]",21.0,21.0,21.0
xerces-1.2,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 4.0]","[0.0, 4.0]",21.0,21.0,21.0
xerces-1.3,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 4.0]","[0.0, 7.0]","[1.0, 6.0]",21.0,21.0,21.0
xerces-1.4,"[21.0, 21.0]","[21.0, 21.0]","[21.0, 21.0]","[0.0, 6.0]","[0.0, 7.0]","[1.0, 11.0]",21.0,21.0,21.0
