filename,RandomForestRegressor,MLP/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/CoDE_toZero,linear/nsga2_toZero/FPA_L1_MSE,linear/CoDE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,MLP/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,MLP/nsga2_random30p_toZero/FPA_L1_MSE,MLP/nsga2/FPA_L1_MSE,LinearRegression,MLP/nsga2_30p_toZero/FPA_L1_MSE,MLP/nsga2_toZero/FPA_L1_MSE,MLP/nsga2_10p_toZero/FPA_L1_MSE,MLP/nsga2_20p_toZero/FPA_L1_MSE,MLP/CoDE_random30p_toZero,RidgeCV,MLP/CoDE_random20p_toZero,MLP/CoDE_random10p_toZero,MLP/CoDE_toZero,MLP/CoDE,LassoLarsCV,MLPRegressor
ivy-1.4,0.972106962,0.83010604,0.855002305,0.860304288,0.845320424,0.86076533,0.857538036,0.840479484,0.825726141,0.825265099,0.843015214,0.817196865,0.839326879,0.834716459,0.854426003,0.85846012,0.824112494,0.835638543,0.845320424,0.830336561,0.792761641,0.809820194,0.802443522,0.808552328,0.817773167,0.810396496,0.809589673,0.690871369
ivy-2.0,0.955965909,0.866933847,0.86135349,0.857751623,0.855976055,0.859527192,0.860896916,0.855570211,0.851866883,0.856331169,0.859577922,0.8515625,0.855418019,0.843344156,0.863661729,0.861505682,0.837484781,0.856610187,0.851258117,0.846844562,0.838854505,0.847706981,0.842507102,0.844308036,0.840553977,0.849203531,0.829697646,0.825385552
jedit-3.2,0.9141419,0.863633739,0.867550816,0.867416076,0.868282261,0.867271712,0.864432553,0.870351478,0.869302433,0.854615799,0.863701109,0.866727941,0.859745534,0.856386665,0.833509778,0.860159378,0.84746978,0.834736872,0.842479597,0.836709848,0.819390976,0.860197875,0.830251963,0.832080574,0.821931783,0.824602518,0.860756083,0.825069295
jedit-4.0,0.932840245,0.853953381,0.864711666,0.862687258,0.864509226,0.858710741,0.861978715,0.862889699,0.859043322,0.85623807,0.863569322,0.858696281,0.861053271,0.855833189,0.833687605,0.85380878,0.852724276,0.835046851,0.8444242,0.817926138,0.841170687,0.85382324,0.81593788,0.815185956,0.82556105,0.819270924,0.85375094,0.818020128
jedit-4.1,0.924598251,0.844942692,0.854676238,0.850939383,0.853701406,0.851116625,0.852711804,0.85321399,0.851264327,0.847483162,0.849994092,0.850555359,0.845725511,0.858782347,0.84144216,0.837365591,0.830032199,0.835910729,0.829530013,0.83599935,0.817772953,0.837336051,0.815062626,0.832011403,0.822366478,0.822300012,0.83644984,0.81421334
jedit-4.2,0.959732147,0.891933577,0.891393759,0.897948692,0.89684335,0.891008174,0.883502134,0.899876613,0.893450208,0.894812606,0.887332271,0.888283379,0.875790448,0.880520282,0.864827001,0.89167652,0.868284407,0.850933114,0.844789471,0.868580022,0.859017531,0.889491543,0.848195466,0.855418745,0.846241838,0.851627166,0.89167652,0.603285178
jedit-4.3,0.986026423,0.944444444,0.906588753,0.899559621,0.898204607,0.89854336,0.88829607,0.881605691,0.885501355,0.918699187,0.890921409,0.910738482,0.886094173,0.881012873,0.896680217,0.821476965,0.923526423,0.909891599,0.899051491,0.878726287,0.888804201,0.764397019,0.904302168,0.88626355,0.914888211,0.906673442,0.50101626,0.389058266
log4j-1.0,0.916575592,0.841287189,0.846023072,0.845415908,0.843230115,0.848087432,0.853187614,0.84675167,0.846994536,0.843230115,0.844323012,0.842744384,0.842622951,0.838858531,0.834911961,0.826593807,0.822100789,0.832969035,0.821493625,0.821493625,0.829690346,0.824529447,0.824043716,0.826897389,0.823193685,0.82774742,0.8191864,0.858166363
log4j-1.1,0.893962023,0.834542351,0.845423512,0.838489439,0.843823341,0.842329849,0.847663751,0.839556219,0.839449541,0.831128654,0.839662897,0.836355878,0.833475571,0.831982078,0.813366759,0.848197141,0.828835076,0.833422232,0.84878387,0.828301686,0.823661191,0.827074888,0.812620013,0.816727118,0.81224664,0.811819927,0.828781737,0.791444421
log4j-1.2,0.651415418,0.595778235,0.598520913,0.598266236,0.59350573,0.598853952,0.595337447,0.596130865,0.5941914,0.589137036,0.595151337,0.592565383,0.591399745,0.592477226,0.589372123,0.598187873,0.590307572,0.586644138,0.596174944,0.589362327,0.588950926,0.590351651,0.585943775,0.582716231,0.577132922,0.579807033,0.585199334,0.584288373
lucene-2.0,0.876463835,0.780118638,0.787217757,0.78170685,0.79079602,0.780099502,0.776329889,0.781974742,0.779448909,0.778415614,0.78155377,0.779391504,0.774894757,0.773268274,0.771421737,0.771067738,0.752774589,0.751463835,0.771364332,0.765575966,0.766800612,0.771125144,0.739800995,0.753099885,0.743742824,0.73412744,0.767192882,0.778243398
lucene-2.2,0.835866143,0.731717812,0.731566234,0.732402355,0.731639578,0.731673805,0.733566078,0.731844941,0.730769231,0.724627902,0.73102349,0.730514972,0.724872382,0.726476168,0.729825539,0.720618436,0.713949031,0.721058499,0.720139256,0.702438929,0.713997927,0.712267011,0.706164799,0.710653445,0.715190988,0.714848716,0.716164017,0.74651372
lucene-2.4,0.826579952,0.730295979,0.733051005,0.73601545,0.732101638,0.73451694,0.735317386,0.735801378,0.733851452,0.722403202,0.73277178,0.730607781,0.730207558,0.726847543,0.723364203,0.732511169,0.717298027,0.707513496,0.71998092,0.70974032,0.708227848,0.73160834,0.695676657,0.698952904,0.711117833,0.69553239,0.725274572,0.738635517
poi-1.5,0.824789646,0.706109507,0.699015471,0.696911935,0.699589163,0.692926938,0.693661016,0.691693192,0.695172354,0.692692526,0.683106324,0.687837738,0.67551879,0.684815062,0.70435142,0.693716535,0.685876083,0.688454611,0.691662349,0.707515977,0.687492289,0.658357391,0.677862906,0.677276877,0.676419424,0.67726454,0.657092802,0.623966738
poi-2.0,0.945533235,0.804017638,0.807528989,0.815858239,0.81340846,0.814959987,0.81577658,0.808263923,0.803282705,0.7870325,0.800016332,0.800914584,0.799934673,0.781561326,0.826228973,0.77029234,0.790013065,0.80267026,0.768128368,0.773803691,0.789237302,0.763024661,0.785031847,0.7918504,0.753919647,0.771149763,0.501592357,0.578882901
poi-2.5,0.75867721,0.682080017,0.686510264,0.683080226,0.687044407,0.68094889,0.682116674,0.688238375,0.687615207,0.677895894,0.683436322,0.688201718,0.679147465,0.684067344,0.680095308,0.675968789,0.679459049,0.683766234,0.668873062,0.677576456,0.67198628,0.672114579,0.67179514,0.66121439,0.661109656,0.663298597,0.643922811,0.665191663
poi-3.0,0.793972851,0.716045249,0.717144796,0.71899095,0.71621267,0.71558371,0.719461538,0.718800905,0.716004525,0.715778281,0.71161086,0.716959276,0.70838009,0.713728507,0.701447964,0.69338914,0.703925339,0.704751131,0.68559276,0.711020362,0.699764706,0.695239819,0.695056561,0.684366516,0.688113122,0.679830317,0.701531674,0.696945701
synapse-1.0,0.962693358,0.87989081,0.876554443,0.864725508,0.873824689,0.861085836,0.873824689,0.869275099,0.86381559,0.866545344,0.860175918,0.861389142,0.863208978,0.856536245,0.870185017,0.856839551,0.905065211,0.83818623,0.872004853,0.87488626,0.855323021,0.824992417,0.865483773,0.853806491,0.860327571,0.851076736,0.821656051,0.71458902
synapse-1.1,0.901060151,0.785785786,0.778005278,0.788288288,0.771089271,0.789152789,0.78032578,0.772408772,0.779233779,0.770770771,0.77950678,0.772317772,0.778915279,0.768040768,0.815338065,0.796614797,0.768291018,0.796046046,0.740854491,0.785103285,0.768882519,0.75034125,0.753230503,0.744926745,0.755414505,0.744448994,0.746428246,0.796569297
synapse-1.2,0.881196121,0.74294181,0.750296336,0.745608836,0.751104526,0.746578664,0.744073276,0.746767241,0.748087284,0.7359375,0.744477371,0.747386853,0.734536638,0.725484914,0.758108836,0.733351293,0.731613685,0.753811961,0.733297414,0.750417565,0.719773707,0.72424569,0.718143858,0.733445582,0.728542565,0.724393858,0.701185345,0.687607759
velocity-1.4,0.71361759,0.632142857,0.624890671,0.635762877,0.642857143,0.639552964,0.634961127,0.635519922,0.626020408,0.632118562,0.630344995,0.621744412,0.625048591,0.632434402,0.637220603,0.648931001,0.631462585,0.626445578,0.632543732,0.619776482,0.625546647,0.650218659,0.618270165,0.624708455,0.6130345,0.616302235,0.649757046,0.535471331
velocity-1.5,0.79015021,0.715052094,0.710774487,0.708699212,0.713428579,0.703616907,0.710393314,0.71371093,0.705551007,0.713117994,0.705918062,0.698068724,0.70178163,0.704986306,0.7025228,0.704929836,0.684762967,0.712214473,0.690678205,0.705049835,0.68928763,0.706398057,0.686188836,0.685864133,0.702367507,0.696960499,0.701767513,0.680421831
velocity-1.6,0.89793151,0.803010802,0.804527695,0.788002758,0.783980694,0.787979775,0.777269593,0.792461503,0.785635486,0.793139508,0.798678465,0.768512986,0.790898644,0.77824638,0.747586762,0.779843714,0.780981384,0.74971271,0.774143875,0.718742818,0.764996553,0.750861871,0.74593197,0.728200414,0.744598943,0.734693174,0.775798667,0.705929671
xalan-2.4,0.942179133,0.80049296,0.802833635,0.805493492,0.804021704,0.8059634,0.804926056,0.803454268,0.800883073,0.800328936,0.801060396,0.798950243,0.802470121,0.792389261,0.798298578,0.785136717,0.783642763,0.79931819,0.800253573,0.797602582,0.777959535,0.781341987,0.787255736,0.791710998,0.792610916,0.793302479,0.777538391,0.813295741
xalan-2.5,0.81067935,0.662357262,0.662004301,0.664370663,0.663797248,0.665993579,0.664544212,0.663430216,0.662509703,0.659717678,0.661156492,0.66349002,0.659382307,0.654599161,0.653868614,0.658781922,0.646417741,0.64546205,0.640651934,0.649397387,0.638051047,0.652346544,0.636914771,0.634621112,0.638939898,0.638867195,0.658493456,0.631262708
xalan-2.6,0.824672542,0.713826893,0.707777627,0.707157514,0.705857627,0.709065763,0.709348701,0.706549153,0.705728362,0.705036836,0.705327006,0.705224859,0.705398418,0.702630508,0.68716565,0.696348927,0.676494463,0.687939435,0.675620339,0.678039322,0.688648136,0.695798418,0.676720452,0.673835028,0.675033672,0.679977401,0.693057627,0.71827435
xalan-2.7,0.607392231,0.578055209,0.575169801,0.575606035,0.574617932,0.575887638,0.575732099,0.574898628,0.574676429,0.575913032,0.574341317,0.574408884,0.574117305,0.572263533,0.572170572,0.567360199,0.561704109,0.572956883,0.572678455,0.56379187,0.565991636,0.567848129,0.56560755,0.568807664,0.567286283,0.569101964,0.566870455,0.570101404
xerces-init,0.827086568,0.768019517,0.758298218,0.759554964,0.75689362,0.76437865,0.760996525,0.751533969,0.747394101,0.768463074,0.754269239,0.750609891,0.746617875,0.762253271,0.754491018,0.750757744,0.752642862,0.769017521,0.75297553,0.728468988,0.756727286,0.734124344,0.754675834,0.749500998,0.755877135,0.755914098,0.675630221,0.749390109
xerces-1.2,0.925573123,0.77944664,0.73701581,0.732035573,0.744051383,0.733083004,0.735237154,0.730158103,0.754594862,0.756640316,0.728280632,0.714713439,0.743003953,0.760750988,0.749031621,0.730533597,0.745167984,0.740879447,0.774110672,0.74798419,0.728488142,0.698913043,0.71270751,0.718102767,0.717865613,0.732183794,0.587094862,0.719100791
xerces-1.3,0.956719166,0.852028503,0.852291574,0.854030127,0.858959842,0.857861808,0.859937778,0.861887932,0.854910842,0.846584085,0.843930504,0.853904311,0.84123117,0.843507303,0.849580803,0.80187352,0.85082181,0.862883025,0.844622494,0.856483547,0.835952602,0.776979034,0.84964943,0.833573528,0.850678837,0.838531837,0.788090908,0.823845635
xerces-1.4,0.828577076,0.777561463,0.772268682,0.771915972,0.771750273,0.772093925,0.770842924,0.770130577,0.769653726,0.770875424,0.770036273,0.768604654,0.769847663,0.768804452,0.753254309,0.757955689,0.762212717,0.757197522,0.754216536,0.749575896,0.754046575,0.763278306,0.740846589,0.744387009,0.741725168,0.745093495,0.763730116,0.775090895
,0.880300706,0.783301607,0.782483405,0.781571334,0.781517772,0.781312555,0.780607312,0.780301057,0.778537889,0.777779456,0.777198483,0.775750021,0.77368137,0.772387824,0.771461567,0.76914696,0.767909968,0.767780383,0.767703398,0.764021534,0.760608413,0.757989555,0.755474342,0.754948298,0.754123931,0.753699581,0.730934226,0.704706235
